instruction,category
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",classification
Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,brainstorming
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},information_extraction
Which products apple sell?,general_qa
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,creative_writing
Please describe  what is oil and give me a list of it’s applications.,summarization
List 6 different types of rain in Seattle,brainstorming
What is investment banking?,open_qa
I started a new company named Greystone Inc. What do we do?,brainstorming
Tell me whether or not these foods are on EWG's dirty dozen list,classification
How much music theory knowledge is required to compose music?,general_qa
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",classification
Summarize in one sentence this article about a famous song.,summarization
What is the Maareech Advanced Torpedo Defence System (ATDS)?,information_extraction
Change the following passage to past tense,information_extraction
What is the tallest mountain in the continental US?,general_qa
Who is Shoji Hashimoto?,information_extraction
What are some of the best comedy movies of the 1980's?,open_qa
In golf what do the Americans call an albatross,open_qa
What are common ingredients of a full english breakfast?,classification
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",creative_writing
How do you operate a car with a manual transmission?,general_qa
What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,open_qa
What are 5 potential uses for an empty La Croix can?,brainstorming
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",open_qa
Why are so many US Hollywood films made in the state of Georgia?,open_qa
How many managers have Arsenal had?,closed_qa
What is SVM?,closed_qa
What is the current capital of Japan?,information_extraction
What are some tools that every homeowner should have?,open_qa
What is an apple?,open_qa
write a short essay on California wild fire,creative_writing
Tell me about the 2017 Southeastern Conference football season,summarization
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,closed_qa
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",classification
What are some different things you should bring with you on a day hiking trip?,brainstorming
How long does it take for a mustard seed to germinate?,closed_qa
Which is a species of fish? Sea dragon or Red bearded,classification
"Categorize where each of these household items belong: bed, couch, desk",classification
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",classification
What are AirPods?,general_qa
What is the difference between pets and cattle?,open_qa
How do I put a bouquet of fresh flowers in a vase?,open_qa
What should I do on a free afternoon in San Francisco?,creative_writing
"Identify which instrument is string or woodwind: Janzi, Gemshorn",classification
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",classification
What is the origin of the name of the herb Rosemary?,closed_qa
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",classification
Wat id DNA annotation?,open_qa
Who were Jaehaerys I Targaryen's children?,open_qa
"In SQL, how can I filter table rows based on a column condition?",general_qa
Who were the ten best baseball players in the history of the Boston Red Sox?,brainstorming
What makes the world go around?,general_qa
"Who coined the phrase ""Bike-shedding"" and when?",closed_qa
Who is the best Formula 1 driver,general_qa
What is Share capital in finance?,open_qa
Give me some Mother's Day gift ideas.,general_qa
Give me a list of ways that a runner can advance a base in baseball without there being a hit.,brainstorming
What are the types of RVs?,general_qa
List the weapons of Goddess Durga in a comma separated manner.,information_extraction
What shapes are made up of straight lines?,brainstorming
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",classification
Are The Smiths a good band?,general_qa
What is an EV?,general_qa
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",closed_qa
Name 10 colors,brainstorming
What is game of Cricket?,summarization
How much of American wine is produced in California?,open_qa
"As a golfer, how can I fix my slice?",general_qa
Who tends to participates in hackathons?,closed_qa
Which community of users on Twitter has the most 8-dollar-a-month verification?,brainstorming
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",classification
What’s a typical dish in Brazil?,general_qa
How should I invest my money?,general_qa
Where is the village of Congosto,summarization
Name the three best professional sports teams based in California.,open_qa
What is Marketing Automation?,closed_qa
What are some ways to improve the value of your home?,brainstorming
Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,creative_writing
Which American president spoke Dutch as their first language?,closed_qa
How many planets are there?,general_qa
Help me come up with 3 ideas for a new business and how I can start it,brainstorming
Tomb of Sand  was translated from Hindi to English by,open_qa
"What is more important in society, freedom or safety?",creative_writing
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",closed_qa
What are good activities for two year old boys?,general_qa
How many compute services does Azure Synapse have?,open_qa
What does fasting mean?,closed_qa
How many times Lewis Hamilton won the F1 Championship ?,brainstorming
What happens when you bring flammable objects closer to a fire source or extreme heat?,open_qa
Give me a list of the last five european golden boots winner And tell me how many goals they scored.,brainstorming
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",classification
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",classification
What is the largest city on the Mississippi River?,information_extraction
What is the city of Denver like?,general_qa
Provide a list of all numbers mentioned in the provided text and what they represent,information_extraction
What are the differences between the New York Giants and New York Jets?,open_qa
Was Furze Hill an established community in the 19th century?,closed_qa
Should you buy new golf clubs when you are a beginner?,brainstorming
Why should I use fabric softener?,information_extraction
The former Chairman of Tata Sons died in road accident  en route  from where?,open_qa
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",classification
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",classification
Summarize the rulers of the territory of Albania in this time period.,summarization
What is cloud computing in simple terms?,general_qa
What is one year?,open_qa
What types of sport fish do most anglers target in New England?,general_qa
Give me a bunch of ways I can keep my house cool in the summer,brainstorming
What is wine?,closed_qa
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",classification
What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,information_extraction
Give me a list of things that pose a challenge to cryptos,brainstorming
What is the meaning of life?,general_qa
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",classification
Why are we like aquariums?,general_qa
Give me a bulleted list of countries that start with the letter B.,brainstorming
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",creative_writing
Who are some of the most successful golfers in history?,open_qa
"Which is a bird or fish: Red-throated diver, Redlip blenny",classification
Which types of fish contain the lowest levels of mercury?,open_qa
How do you make an iced matcha latter?,open_qa
What is world of warcraft,general_qa
What is the best swimming form?,general_qa
Which is the best place to Kayak in Austin?,open_qa
Who is the best men's test cricket player to have come from New Zealand?,general_qa
"What is the winter weather like in Salt Lake City, Utah?",general_qa
Whats the difference between a bass guitar and a regular guitar?,open_qa
What is a Gross domestic product (GDP)?,open_qa
What is the last festival celebrated in Tihar and how long does the festival last?,closed_qa
What event John Johnstone won as a rider?,closed_qa
What are the careers of your dream?,brainstorming
Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,open_qa
What is a Mormon?,open_qa
What is the difference between a red delicious and a Granny Smith apple?,open_qa
List the Pokemon Go regions.,brainstorming
Who do you think is the most powerful Mandalorian in Star Wars history?,open_qa
Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,information_extraction
What cities should someone visit during a trip to Morocco?,general_qa
Which classical composer was deaf?,open_qa
Who discovered the double-helix DNA structure?,open_qa
Please provide a brief summary describing Canada,summarization
Why age 27 is given so much importance specially in Music industry?,brainstorming
What is Bollywood,open_qa
What are Nanotube?,open_qa
Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,creative_writing
What is a secured loan?,open_qa
Should I have Kids?,open_qa
Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,brainstorming
"Name some reasons it's great to live in Marin County, California.",brainstorming
Who was the first American to win a Nobel Peace?,open_qa
What is the FA Cup?,open_qa
Are Schindler elevators safe,summarization
What are the 4 oceans on earth,open_qa
Did Harry Potter put his own name in the goblet of fire?,open_qa
Why does it help to focus on the breath when practicing mindfulness?,general_qa
What's the best way to learn how to snowboard?,general_qa
What was Angie Thomas's first published novel?,open_qa
"Based on this paragraph, how many younger siblings did Kennedy have?",closed_qa
What are some of the common elements of visual design?,information_extraction
What is the difference between a shrub and a tree?,open_qa
"As an expert skier, what are the top resorts in the US to go skiing?",classification
"Which characters belong to DC or Marvel Universe? Hulk, Spectre",classification
"Extract why Tim Lincecum was called ""The Freak""",information_extraction
Which players won the men's singles grand slam tennis tournaments in 2022.,open_qa
Can you tell me something about Stanley J. Goldberg,closed_qa
Please summarize the causes and cure for color blindness given in the passage?,summarization
How can I improve my finances?,brainstorming
What is Zenthoefer Furs,summarization
What are the three branches of the US Federal Government?,open_qa
"When rock climbing, what is the difference between lead climbing and top rope climbing?",general_qa
Which is a species of fish? Mola mola or Molar,classification
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",creative_writing
What makes a good sales account executive?,general_qa
"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",classification
Think up some openings for beginners to the game of Chess,creative_writing
Give me a list of popular current artists in the EDM category.,brainstorming
"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",classification
What is the appeal of Flathead Lake as a Summer vacation destination?,creative_writing
What's the difference between tennis and pickleball?,open_qa
What is Linux?,information_extraction
"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",closed_qa
What are the classifications of Academic Degrees?,classification
What types of problems in government could AI be used to solve,closed_qa
Why isn't multi-threading making my Python code faster? How can I fix it.,general_qa
Who is the best NBA player of all time?,open_qa
"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",classification
How can I get better performance when querying a delta table?,general_qa
Which coin of U.S currency has the most ridges.,open_qa
Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,open_qa
"From the passage provided, extract the state Lincoln was born in",information_extraction
What is FIFA?,summarization
why is Mahatma Gandhi loved by everyone?,general_qa
What is Game of Thrones based on?,open_qa
What are the benefits of collaborating on a tech blog with your customers?,brainstorming
"Given this paragraph, how many public high schools are in Arlington, Virginia?",closed_qa
What are all of the professional baseball teams in the state of Florida?,open_qa
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",closed_qa
Extract what is Top Gun,information_extraction
Where to find the best croissant in San Francisco?,general_qa
Do cats have nine lives?,open_qa
What is Microsoft?,information_extraction
How do you make soap?,open_qa
How would I get from an upstairs apartment to the parking garage?,general_qa
What are three most commonly sung lyric soprano arias?,brainstorming
Cases of Anthrax were found in Kerala in which animals?,open_qa
"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",classification
"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",classification
Can you describe what team effectiveness is?,summarization
"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",information_extraction
"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",classification
Why do people like gardening?,general_qa
I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,general_qa
"From the passage provided, extract the second studio album that Taylor Swift released.",information_extraction
Is there a World Taekwondo Grand Prix,closed_qa
"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",closed_qa
What is the best way to invest my money?,general_qa
Do George Lucas and Steven Spielberg know each other?,open_qa
Give me a list of the best bravo tv shows,brainstorming
What are the official languages of the United Nations?,closed_qa
What type of weather is San Francisco famous for?,open_qa
What makes for a good photograph?,general_qa
What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,closed_qa
"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.",information_extraction
What are some movies that star Will Ferrell?,open_qa
What is the plot of Harry Potter?,open_qa
What is the old name for The Go Between Bridge?,closed_qa
Can I make chocolate at home?,creative_writing
How did Alfred Nobel make his money,open_qa
What is the Trans Tahoe Relay?,open_qa
When was the 8088 processor released?,information_extraction
How do you prepare for case study interview for digital transformation case?,general_qa
"Identify which instrument is string or woodwind: Wheelharp, Clarinet",classification
Which country makes the best coffee in the world?,general_qa
"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?",closed_qa
What was the Underground Railroad?,closed_qa
"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?",closed_qa
What are the best social media sites,brainstorming
How many musicians performed in the world's largest rock band?,open_qa
How has the video gaming industry evolved over the years ?,general_qa
Give me a list of recommendations to quickly heal from an achilles rupture surgery.,brainstorming
Which team was relegated from the league at the conclusion of the 1991 Season?,information_extraction
What percussion instruments are easy to learn?,brainstorming
"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas",classification
Name all the books in the Harry Potter collection,open_qa
"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan",classification
Why should we ban artificial sweeteners like aspartame?,creative_writing
Give me some ideas of kids items to stuff into Easter eggs.,brainstorming
"I'm going to give you a passage from Marty Essen's book ""Cool Creatures, Hot Planet: Exploring the Seven Continents"" and want you to answer the following question: Where are western Hermann's tortoises found?

After spending the night at a large chain hotel, Deb and I traveled southeast with tortoises on our mind. Our plan for the day was to infiltrate the Massif des Maures area and search for one of France's most endangered reptiles-- the western Hermann's tortoise.  The first stop of our quest was Le Village de Tortues (the Tortoise Village), a tortoise rehabilitation center near the town of Gonfaron. Our mission was to befriend a staff member, learn as much as we could, and get detailed information on tracking down the wily Hermann's tortoise in the wild. When we couldn't find an English-speaking staff member, our mission was nearly thwarted. Only through quick thinking and improvisation were we able to acquire the vital background information we needed. Okay - we utilized the signs provided for British visitors. For many people, the word tortoise invokes thoughts of giant four-foot-long Galapagos tortoises. Western Hermann's tortoises, on the other hand, are small, reaching a maximum length of eight inches. While both reptiles make the IUCN Red List of Threatened Species, the Galapagos tortoise is listed as ""vulnerable"" and the western Hermann's is listed as ""endangered."" In France, habitat destruction, egg pilfering, and fire are the primary factors for the tortoises decline.",general_qa
"Identify which car manufacturer is German or American: Opel, GMC",classification
What are the top reasons to become a vegan?,brainstorming
"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?",closed_qa
Why do cooks use kosher salt?,general_qa
When was Lamb Air operating,closed_qa
What is the PGA Championship?,summarization
What fruits and vegetables are grown in lower-lying areas of Kenya?,information_extraction
Is Paris a good city to live in?,general_qa
How are weather forecasts created?,general_qa
Since when did the SR22 include a glass cockpit,information_extraction
Give me a bulleted list of the first ten MacOS (operating system) versions.,brainstorming
What do you know about the city of Aberdeen in Scotland?,open_qa
What is the English Premier League?,open_qa
"Classify the following types of cars as ""economy"" or ""luxury"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru",classification
Please list down some key points  regarding governance system of Portland from the given text,summarization
Which river can you hike in Utah?,closed_qa
What is predictive maintenance?,open_qa
Who are N-Dubz?,general_qa
Write a haiku about how much I love pickles.,creative_writing
What is Terraform?,open_qa
What are the two longest rivers located in the United States?,open_qa
What are the words of House Reed?,open_qa
What movies won best picture Oscars the last 5 years,brainstorming
"Classify each of the following grades as being in elementary or high school: 10th grade, 3rd grade, 4th grade, 12th grade, 1st grade.",classification
Why is Brazilian jiu jitsu an excellent martial art?,general_qa
What is Cup Game?,summarization
"Which is a bird or fish: Blackchin, Black redstart",classification
"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",general_qa
"Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong",classification
From the passage find the list of banks who supported Yes Bank in 2020. Display the results in comma separated format.,information_extraction
What is WestWorld?,information_extraction
Best beach vacation in the world,brainstorming
"From the paragraph, tell me what is the fourth longest natural arch in the world",information_extraction
What city in the United States is known for its Mardi Gras celebrations?,open_qa
Give me three ideas for a fun dinner party,general_qa
Why are dogs generally more popular than cats as pets?,general_qa
What is Nando's?,general_qa
"What does Cisco specialize in, what technology markets do they address, and what are their most successful products?",closed_qa
"Sally has 2 chickens, 3 cows and 2 motorcycles. Doug has 6 monkeys, 12 pigs and 2 tractors. Amy has 1 car, 10 cows and 6 ducks. How many farm animals do Sally, Doug and Amy have in total?",general_qa
Why is nitrogen gas used during the packaging of potato chips?,general_qa
What are the causes for Sensory processing disorder?,closed_qa
What is the greatest movie of all time?,general_qa
What is cryptocurrency?,open_qa
"According to this text, when did Disney become a public company?",closed_qa
"Which of the following are ice cream toppings and which are salad dressings: thousand island, chocolate sauce, hot fudge, balsamic vinaigrette, whipped cream, and Caesar.",classification
Where did Gretel attend primary school?,closed_qa
"Which of these are car brands: Ferrari, Fiat, Batavus, Philips, Renault, BMW, IKEA and MG",classification
"In the United States of America, which state is the largest in size?",general_qa
"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",classification
Is skiing or snowboarding easier?,general_qa
What was the Counter Reformation?,open_qa
What is time series data?,general_qa
Cauliflower rice is not that fun to eat in its bland form. Is there anything interesting and tasty I can cook with cauliflower rice?,general_qa
"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.",closed_qa
How to raise a kitten?,open_qa
What is engineering culture?,general_qa
Who are the pianists that are considered masters in playing Bach's music?,open_qa
"Categorize these movies that came out in 1999 as cartoons or live-action: The Matrix, Stuart Little, Cruel Intentions, The Iron Giant, The Blair Witch Project, South Park: Bigger, Longer, and Uncut, The Sixth Sense",classification
How are cats different than dogs?,general_qa
What dog breed is a mix between a Cocker Spaniel and a Poodle?,open_qa
What is the name of the largest red-light district in Amsterdam?,open_qa
Why do people move to California?,general_qa
Discuss at least two risks associated with scraping data from websites. Describe steps an analyst could take to mitigate those risks.,creative_writing
What is Brdinje,summarization
How are tornadoes formed?,open_qa
"Which ones are programming languages, out of C, Java, Node.js, Python, HTML, BigData, Spark?",classification
Give me a bulleted list of the the first five books in the bible old testament?,brainstorming
What type of cheeses can you use to make a grilled cheese sandwich.,summarization
What is the tiny piece at the end of a shoelace called?,open_qa
"What links Brazil, Uruguay, Mozambique and Angola",open_qa
What the the effects of houseplants?,information_extraction
Who were the original 5 members of the Grateful Dead?,open_qa
How is the The U.S. Naturalization Interview and test done?,general_qa
What is Magical Thinking?,closed_qa
List top 5 people with most silver medals in the olympics,brainstorming
"Based on this paragraph, how many times has Joe Biden run for president and what characteristics make him unique among all past presidents?",closed_qa
What articles of clothes are often worn by people in summer months?,brainstorming
Which Dutch actress played Xenia Onatopp in the James Bond movie GoldenEye?,open_qa
Which of the 10 largest earthquakes was the deadliest?,closed_qa
Give me some tips on how to train for a marathon.,brainstorming
Extract the names of the cities and rank them in alphabetical order?,information_extraction
Write a guide for how to catch a smallmouth bass.,creative_writing
"Which ones are metals and non metals: Copper, Hydrogen, Silver, Carbon, Gold, Nitrogen",classification
Write a funny and whimsical horoscope reading,creative_writing
"From the passage provided, extract the date when the 34th Wisconsin Infantry Regiment was organized.",information_extraction
How did Robert Baratheon die?,open_qa
"For the Zodiac sign Aries, Share some information from the given text.",summarization
"Without quoting from the text, can you summarise from wikipedia who Denis-Benjamin Viger was?",summarization
What is the best language in the world,brainstorming
"Tell me whether these are movies or film Directors: Sholay, Satyajit Ray, Mani Ratnam, Lagaan, Yash Chopra, Roja",classification
How do you improve your basketball handles?,creative_writing
What is the future trend of job industry,brainstorming
How do I cast on a knitting project?,general_qa
Why do Filipinos like eating rice so much?,creative_writing
What are the benefits of division of labour?,summarization
"According to the paragraph below, what is Generative AI?",summarization
"Identify which instrument is string or percussion: Pambai, Steel Guitar",classification
What mammal lays the largest eggs?,general_qa
Increased money supply (i.e. money printing),open_qa
What is CBT?,information_extraction
What is appealing about Charleston in South Carolina?,general_qa
Give me a list of nice board games to play with friends,brainstorming
Where is Shuyga?,information_extraction
What's the best way to cook a soft-boiled egg?,general_qa
"What is ""diglossia""?",open_qa
Give me a bulleted list of the three most recent prime ministers of India,brainstorming
"How would you categorize the following sports into two groups; baseball, archery, decathlon, hockey",general_qa
What is the second oldest ballpark in Major League Baseball?,open_qa
What are some types of potatoes commonly grown in Ireland?,brainstorming
How do you know if you reached product market fit?,general_qa
What are index funds?,open_qa
How to calculate growth rate?,general_qa
Name 10 of Kris Jenner's Grandchildren,brainstorming
"Categorize each of the following as either 'spicy', 'not spicy' or 'sometimes spicy': jalapenos, chilis, sriracha, chips, pizza, cocktails, fruit, milk",classification
What is the Turkish drink that tastes similar to,information_extraction
How many campgrounds does Shenandoah National Park have?,open_qa
Who was the first women to do the spacewalk?,open_qa
"Tell me whether each South Park character is a kid or adult: Randy, Stan, Kyle, Butters, Sharon",classification
What is the kiwi bird?,general_qa
What is Unified Payments Interface (UPI) in India,general_qa
What is a spiral staircase?,open_qa
"Miles Davis, Rhianna, Elton John, John Coltrane, Taylor Swift, Amy Winehouse, Elvis, Billy Holiday. These are all musicians - list which of these are jazz musicians, and which are not.",classification
"Extract the criticisms that modern portfolio theory faces from this link https://en.wikipedia.org/wiki/Modern_portfolio_theory, place them in a bullet list",information_extraction
Give me a list of things I can do with a bunch of extra money.,brainstorming
Which is considered the first human technology?,open_qa
"Given this paragraph about the Cold War, why did the Soviets pull out of their war in Afghanistan?",closed_qa
Why did the Seattle Supersonics leave Seattle?,open_qa
"Which of the following words starts with the letter S: Snake, Towel, Table, Shower, Yam, Butterfly, Apple",classification
What does the Gini coefficient measure?,summarization
Give me some facts about Ethiopia?,open_qa
What are the advantages to studying Engineering in college?,general_qa
"According to the text below about UVA, name the UVA alumni that have won the Pulitzer Prize.",closed_qa
Summarize the Challenger Sales Methodology for me,general_qa
Who are the three team managers that hold the record for the most appearances in the FIFA Club World Cup final?,information_extraction
